"id","communities"
"muhammadfaizan",10
"kentcdodds",10
"minrk",5
"meyskens",5
"kinvix",9
"linjunpop",5
"aviflax",5
"davegomez",10
"guilleiguaran",5
"boneskull",10
"cjuexuan",61
"jmlavoier",4
"miho",229
"mikedfunk",5
"thealphadollar",69
"jaggy",23
"Kev8144",569
"DanPurdy",952
"jeftom",31
"ahmedalaahagag",5
"igeligel",10
"somal",212
"regalius",70
"Yassir4",10
"bneiluj",5
"jgw96",10
"mingkin",19
"jbinfo",21
"imcco",9
"smamran",10
"syy",26
"ajduke",10
"omridevk",10
"bpierre",5
"shuaibird",9
"priyatam",5
"bevacqua",10
"abiosoft",23
"christabella",813
"denysdovhan",10
"pjedrzejewski",552
"lukeholder",93
"jxwufan",5
"Miantang",9
"holdenk",19
"antonybudianto",70
"BBischof",1109
"romanslonov",614
"ndxbn",32
"hetmann",10
"mohanarunachalam",19
"hjanime",84
"Separius",19
"iskandr",84
"sturmenta",10
"tiensonqin",5
"srinivasreddy",5
"jarek-przygodzki",5
"frankodoom",107
"mafellows",5
"Abmiester",19
"Sumegh-git",69
"caldmet70",19
"meolu",9
"sivsivsree",10
"mphilli",945
"ayushgupt",209
"ahmed-hamdy90",10
"BastinRobin",10
"edemkumodzi",107
"konklone",5
"NicolasPetton",5
"Joe8Bit",28
"Jdubz",490
"BeshoyHindy",22
"Jhy1993",20
"tiangolo",5
"adrianmg",13
"marti1125",21
"gtorodelvalle",13
"keilw",5
"rahulrana95",5
"ifeegoo",24
"brycemcwilliams",5
"sevki",5
"statwonk",5
"YuyangZhangFTD",133
"macdavid313",4
"null-none",614
"shorttermmem",5
"grady-lad",10
"murarisumit",5
"steffendsommer",24
"HYPJUDY",47
"SaqibHussain44",10
"heinlinaung",10
"karupanerura",32
"morygonzalez",32
"nmadapan",1005
"devfelipemonteiro",5
"1c7",9
"i0natan",10
"ehlxr",31
"neovintage",5
"hooqee",31
"paladin74",5
"filosfino",31
"iamzhanghao",813
"lunaticmonk",5
"rishitsanmukhani",209
"sourishkrout",5
"gomesfellipe",122
"dcodeIO",10
"rupesh1310",17
"jwaldrip",21
"jasonrpoteet",297
"jchassoul",5
"mattmezza",10
"dikyarga",70
"oknoorap",10
"TheRusskiy",5
"dwwoelfel",5
"shadercoder",5
"suenot",5
"fancyfrees",9
"ivankravchenko",5
"mkrn",10
"patrykkarny",10
"kirankarki",10
"alexanderdean",5
"layerssss",9
"andrewmmc",9
"bilashcse",10
"emersonjds",4
"shyoshyo",639
"hahnzhu",9
"a-dabrowski",93
"marceloserpa",10
"josephspens",5
"aedorado",17
"rdegges",5
"ardianta",70
"chenye2017",9
"hikarock",32
"kvnol",4
"mach-kernel",759
"goel4ever",10
"lopinsjk",1110
"sjwilliams",5
"ryanseys",10
"juliendidier",116
"nicolascbarbosa",4
"nicknovitski",4
"chagasaway",4
"crynobone",5
"StefanKarpinski",19
"llissery",5
"kosilence",9
"kevinwang04",9
"liaohainan",9
"jerrwy",9
"Gavin-Gong",9
"ankit1khare",20
"DonCallisto",884
"lhywell",9
"ishenli",9
"dogukankotan",938
"notarseniy",5
"RReverser",10
"animesh",1111
"babyfaceEasy",23
"bilevg",19
"jayfeng1",19
"erikbern",5
"ashokslsk",10
"o100ja",170
"Maha41",1112
"ChillarAnand",19
"milon",55
"marktopper",5
"flavioribeiro",5
"sunilangadi2",592
"LeoLeBras",239
"timkaye11",613
"FZambia",120
"khanhnamle1994",19
"digoal",31
"Archie22is",5
"okalachev",311
"margaritis",5
"faceyspacey",10
"rogyar",376
"pamil",552
"jasondu",9
"ZQ-jhon",9
"ZS167275",20
"joyeecheung",9
"hongyanh",518
"ck37",122
"daroczig",122
"brandon-beacher",419
"kidbai",9
"findingsea",9
"ACERY1",9
"jizusun",9
"Koprvhdix",9
"MQQM",9
"goodwinfame",9
"Anderson-Liu",9
"kakugyou",9
"martinwithyou",9
"LeuisKen",9
"CommanderXL",9
"iboying",9
"Kuluso97",19
"FishPlusOrange",9
"leecade",9
"SunShinewyf",9
"ShujiaHuang",84
"sorrycc",9
"rubenmulero",300
"GiulioRossetti",19
"kopepasah",5
"flavorjones",5
"YapengTian",20
"lulalala",5
"meathanjay",4
"earome",5
"AlexisTM",242
"gregwhitaker",5
"guidoschmidt",5
"jasperblues",24
"pedroandrade",617
"haroldoramirez",4
"danicat",4
"sorskoot",318
"novemberde",42
"100star",42
"gdequeiroz",122
"shime",5
"locks",5
"robertofrontado",753
"robert-cronin",40
"michalbe",10
"atheiman",1104
"Jyothsnasrinivas",69
"loveincode",9
"dantangfan",9
"Yaoshicn",5
"TFdream",31
"Echo002",31
"tengshe789",31
"paolorotolo",13
"halilozercan",1113
"olagato",5
"MarkusLewis",875
"kevin3747118",5
"ruffrey",5
"rickhanlonii",10
"dhanifudin",10
"fraserxu",9
"amangalvedhekar",5
"oldratlee",31
"nwjsmith",5
"MarkBennett",10
"mwunsch",5
"patidarparas13",19
"Gdewilde",5
"Zizzamia",10
"sddtc",9
"estraviz",19
"lonelam",31
"marquesm91",4
"renanbonette",4
"debMan",771
"mehrdadrad",68
"qqfly",784
"maggit",13
"sonfordson",10
"caioguedes",5
"saketharsh",69
"rava-dosa",69
"softtama",1114
"dwikychandra21",70
"dcanones",19
"DmitryUlyanov",19
"niksumeiko",781
"Atrac613",5
"jobizzness",17
"michelmany",4
"Suburbanno",4
"forrestchang",9
"oubowu",8
"francisglee",84
"ding-hai",8
"Microhx",8
"kassadin",8
"firefecker",8
"2dxgujun",8
"hanlyjiang",8
"sunxu3074",8
"thibmaek",10
"bobjiang",427
"norcross",5
"cordoval",21
"liyin2015",615
"damoqiongqiu",9
"Hasnayeen",55
"ravisuhag",17
"LordK1",17
"firede",9
"Feiyu-Zhang",20
"Arctanxy",922
"haofeixu",34
"shiyi001",20
"huihuimoe",9
"moghya",19
"jeremyckahn",5
"LeoAJ",10
"rootart",5
"chasemccoy",1115
"bastienrobert",10
"alorozco53",246
"Nikoleta-v3",22
"areski",17
"OrkoHunter",69
"simme",5
"tejasmanohar",5
"ashish1500616",17
"mattpodwysocki",10
"floringogianu",19
"hehonghui",8
"kivervinicius",4
"carolove",5
"jbkunst",122
"Emaasit",122
"mauriciord",4
"Chinggis6",5
"LeasyZhang",31
"marufmax",55
"badu",5
"prokawsar",55
"dukex",4
"devigner",21
"Mark24Code",9
"LuukvE",10
"Integ",9
"asifvora",5
"Roxyhuang",5
"SerafimArts",446
"stevewithington",5
"Snaipe",5
"gon250",10
"pavankumardasireddy",10
"icalik",26
"artkirienko",5
"kiwiupover",5
"bannanc",468
"kevinbird61",5
"angeliski",4
"snakecy",20
"Panl",8
"junpenglao",476
"bitwater",9
"KRISACHAN",9
"newpanjing",9
"lzj7618937",9
"MINOSai",17
"chenjiandongx",9
"escapeanaemia",59
"sawyes",9
"beltegeuse",320
"proudlygeek",10
"larc000",10
"Fil",10
"Spacebody",762
"jindongwang",20
"fwoelffel",10
"qinmingyuan",5
"ankeshanand",69
"WilliamDASILVA",10
"aadilhasan",10
"giorgianav",1116
"FrozenGene",9
"brysonreece",1018
"jeremyFreeAgent",116
"bdelespierre",116
"hlee",5
"KexyBiscuit",51
"Feliix42",87
"juanmanunez",218
"graytowne",405
"FangGet",628
"hone",5
"ismailakbudak",26
"lencioni",10
"Tomotoes",9
"kylecesmat",10
"fehmicansaglam",26
"nikolenkoanton92",10
"Ornataweaver",5
"revolunet",5
"thedevsaddam",5
"m2sh",68
"behroozam",771
"fancyecommerce",9
"chenyuntc",20
"LyoSU",515
"sarukuku",5
"scopsy",10
"bl0",589
"ShikharJ",20
"hjr3",5
"mritd",31
"pontusab",10
"PoacherBro",9
"bradley-holt",21
"SamyPesse",10
"AJLoveChina",9
"fdesjardins",5
"siliconMagic",304
"sfc9982",736
"pengshuang",19
"nerzh",171
"kenelite",5
"hustlzp",9
"maixiaojie",9
"c4pt0r",9
"disoul",9
"padipata",9
"gaogao1030",9
"PDKSophia",9
"akash-bisariya",17
"AliElDerawi",17
"sukanta-27",10
"AlabhyaVaibhav",17
"g8up",9
"Evilcome",24
"timeTravelCYN",9
"dainash",9
"lucien0coder",9
"XadillaX",9
"monigarr",5
"oquidave",178
"prabhakaran9397",532
